"Entitlement Name","Value","Deliverable","Customer Journey Category","Delivered by","Outcome","Delivery Details","Pre-Requisites","Not Included","Delivery Plan LINK"
"8 hrs Private Training + Consult","3","Course","User Growth","Trainer","8 hours of private instructor-led training from the Alteryx Course Catalog","The customer will receive 8 hours of private training from the Alteryx catalog, with a curriculum developed to meet their specific needs.","Training Consultation (included in cost)",,"0"
"8 hrs Private Training + Consult (Cobranded, Tailored)","5","Course","User Expertise","Trainer",,,"Training Consultation (included in cost)",,"0"
"8 hrs Private Training + Consult (Cobranded)","4","Course","Value Realization","Trainer",,"The customer will receive 8 hours of private training from the Alteryx catalog, with a curriculum developed to meet their specific needs. Rhw customer will have their branding added to their private training slides and workflows.","Training Consultation (included in cost)",,"0"
"90 min Custom Training Course","5","Course","User Growth","Trainer","The outcomes is one delivered customer course which will be recorded and distributed.","Development of one custom 1.5-hour course with included hands-on case study and delivery of one recorded session. Future delivery of this course can be included in Private Training plans. The development process is iterative and incorporates customer feedback on drafts and revisions, and delivery time will be variable.","N/A","One session only.","0"
"90 min Learning Lab","1","Course","User Growth","Trainer","Receive 90 minutes of tailored training based on a customer-provided set of outcomes.","One 1.5-hour ad-hoc outcome-driven learning event. This session is intended to be tailored to address knowledge gaps specific to the customer's use case. Offered services are Use Case Discussions, Weekly Challenge Reviews, Tool Spotlights, and Detailed Workflow Breakdowns. Includes a training consultation to determine customer needs.","N/A",,"0"
"Advanced Workflow Optimization","20","Working Session","Value Realization","Analytics Consultant","Provides an in-depth review and enhancement of a single complex workflow built with Alteryx Designer’s advanced capabilities.","Review and optimization of one advanced workflow containing:
o	Intelligence Suite tools
o	Machine Learning tools
o	Analytic Apps
o	All tools included in the Core Workflow Optimization engagement
Collaboration with customer team during optimization
Documentation and enablement sessions for ongoing improvement","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","•	Multiple workflow reviews or simultaneous optimization projects
•	Macros nested within macros or large-scale macro re-engineering
•	Development of new models or analytic apps from scratch
•	Non-Alteryx or unsupported tool integrations
•	Continuous performance monitoring or managed optimization services post-engagement","0"
"Advisory Services Starter Pack","10","Roadmaps and Report","Value Realization","Advisory Services","Customers achieve faster ROI through clearer success metrics, deeper platform adoption, and an executive-ready roadmap aligned to business outcomes.
This reduces implementation risk while accelerating upgrades, improving governance, and strengthening Alteryx’s position as a long-term strategic partner.","Time to Value Analysis, Transition Management, Alteryx One Assessment","See individual entitlements for each Pre-requisite","See individual entitlements for each exclusion","0"
"Advisory Services: Alteryx One Assessment","5","Report","Value Realization","Advisory Services","Faster upgrades and cloud readiness
Reduced manual effort and risk associated with cloud platforms
Improved governance and compliance
Accelerated AlteryxOne adoption","Discovery and Stakeholder Alignment
Automated Workflow Scanning
AI Powered Analysis and Documentation
Executive Readout with recommendations","Alteryx version 23.2 & Alteryx One environment available and accessible.

Valid user licenses and admin permissions for environment configuration and data connections.

Network access to Alteryx cloud services and any required external","Changes or updates to current Alteryx One environment Examples of Features Out-of-Scope
Any automation or technical evaluation that does not concern business value.
e.g. Automated migration of workflows between environments and Alteryx Cloud.
e.g. Automation of any Alteryx Server/Environment tasks. This may include restart of the Alteryx Server, migration of users, user management.
Any output regarding secrets or details of secrets.
e.g. DCM secrets.
Reimplementation of any features already provided by Alteryx “Server Health Check” utility.
Anything else not having to do with the business value that the workflows provide to a customer.","0"
"Advisory Services: Time to Value Analysis","3","Roadmap","Value Realization","Advisory Services","Clear definition of success; Faster realization of ROI.
Increased platform adoption
Executive-ready roadmap tied to business outcomes
Stronger perception of Alteryx as a strategic partner","Define Value: Align on what “success” and quick wins look like
Identify Bottlenecks: Surface adoption, process, AI or governance blockers
Analyze Root Causes: Understand why progress is slow
Prioritize Actions: Rank solutions by impact and feasibility","Executive participation - 2 week lead time to schedule","Architecture Review","0"
"Advisory Services: Transition Management","4","Roadmap","Value Realization","Advisory Services","Deeper adoption and engagement
Reduced implementation and adoption risk
Clear next steps for sustained success","Discovery and Stakeholder Alignment
Change Impact and Readiness Assessment
Adoption and Communication Plan
Executive Readout and Communications Strategy","Executive participation - 2 week lead time to schedule","N/A","0"
