"Title","Duration","Solutions","Description","Target Audience","Prerequisites ","Learning Objectives ","Created By"
"Alteryx Designer Advanced Certification Exam Preparation","01:30","[""Designer""]","Learn what to expect on the Alteryx Designer Advanced Certification exam and which resources are available to help you prepare. You will get an overview of the Designer tools covered; the types of questions that appear in the Advanced exam; tips and tricks; and also work through some sample questions. ","This course is designed for anyone Alteryx Designer Core Certified who has continued to elevate their Alteryx skills and wants to take the Advanced Certification exam. ","A licensed copy of Alteryx Designer. 

Proficiency in advanced data prep, parsing, apps, macros, and spatial tools is essential. 

The Alteryx Designer Core Certification must be completed and passed before taking the Alteryx Designer Advanced Certification exam. ","List the tools, topics, and requirements of the Alteryx Designer Advanced Exam. 

Identify the best practices and techniques to prepare for and take the exam. ","Esther Matthews"
"Alteryx Designer Core Certification Exam Preparation ","01:30","[""Designer""]","Learn what to expect on the Alteryx Designer Core Certification exam and which resources are available to help you prepare. You will get an overview of the Designer tools covered; the types of questions that appear in the exam; tips and tricks; and then work through some sample questions.","This course is designed for anyone who wants to learn more about and will attempt to pass the Alteryx Designer Core Certification exam. ","A licensed copy of Alteryx Designer. 

Proficiency in basic data preparation, transformation, manipulation, and general Alteryx knowledge is essential. ","List the tools, topics, and requirements of the Alteryx Designer Core exam. 

Identify the best practices and techniques to prepare for and take the exam. ","Esther Matthews"
"Alteryx Server Administration Foundations ","01:30","[""Server""]","This course will teach you the fundamentals of how to perform the tasks of an Alteryx Server administrator. 

Throughout this course, you will learn about the roles and permissions of Alteryx Server users and how to manage Server use. You will explore the Server interface and discover how to manage workflows, schedules, credentials, and data connections. ","his course is designed for anyone who wants to become an Alteryx Server administrator.","Experience using Alteryx Server is recommended. ","Navigate the Server interface for administrators. 

Identify user roles, permissions, and settings for Server. 

Manage Server users, workflows, schedules, credentials, and data connections. ","Esther Matthews"
"Apply Advanced Data Preparation Techniques with Multi-Tools","01:30","[""Designer""]","Take your data preparation skills to the next level in this course for experienced users. Learn how to streamline complex processes using the Multi-Field Formula, Multi-Row Formula, and Join Multiple tools. Through a practical, real-world scenario, you will conquer a challenging dataset and solve critical business questions. Discover advanced techniques that will revolutionize your workflow efficiency! ","This course is designed for experienced Designer users looking to enhance their data preparation workflows with advanced tools and techniques. ","A licensed copy of Alteryx Designer. 

Proficiency in foundational data prep tasks such as filtering, joining, and using basic formulas in Designer. 

Familiarity with the RegEx tool and Regular Expressions. ","Parse messy data with the Regular Expression (RegEx) tool. 

Efficiently process data vertically and horizontally with Multi-Tools. ","Esther Matthews"
"Automate Data Validation in Your Workflows","01:30","[""Designer""]","Do you build large workflows that join multiple datasets together? Learn how to insert checkpoints in your workflows that automate tracking and testing to ensure your data is accurate, clean, and easy to troubleshoot.","This course is designed for experienced Designer users who build complex workflows and want to learn how to add checkpoints for automated tracking, testing, and troubleshooting. ","A licensed copy of Alteryx Designer.  ","Validate data dynamically in workflows by using automated tracking and testing checkpoints.","Esther Matthews"
"Automate Processes with Iterative Macros","01:30","[""Designer""]","Ready to take your macro-building skills to the next level with automation? This advanced course focuses on iterative macros, allowing you to run a process repeatedly until the desired outcome is achieved. Having prior knowledge of standard or batch macros is highly recommended to enhance your learning experience in this course.","This course is designed for experienced Designer users who are familiar with standard or batch macros and want to expand their automation skills by learning to build iterative macros. ","A licensed copy of Alteryx Designer.  

Familiarity with the Interface tools palette and creating Macros in Designer. ","Create a macro that iterates a process until the data meets your desired conditions. ","Esther Matthews"
"Balance a Modern Governance Framework ","01:30","[""Designer""]","How can organizations best govern their analytics workflows? This course introduces a modern, adaptable governance framework designed to strike the right balance between flexibility and control. You’ll learn how to maintain the agility of Alteryx while applying structured governance for sensitive data and repeatable processes. ","This course is ideal for individuals seeking to implement effective governance in Alteryx workflows without sacrificing flexibility or control. ","A licensed copy of Alteryx Designer Desktop. 

Proficiency in using Designer Desktop. ","Apply governance best practices to effectively manage, document, and share workflows in Alteryx Designer. ","Esther Matthews"
"Blend Data from Multiple Datasets","01:30","[""Designer""]","Do you need to combine different datasets to get the results you need? This beginner course teaches you how to blend multiple data inputs using tools in the Join palette—Union, Join, Append, and Find Replace—helping you uncover meaningful insights.","This course is ideal for beginners who want to learn how to combine datasets from multiple sources for their data analysis. ","A licensed copy of Alteryx Designer. ","Use tools from the Join palette to blend data from multiple inputs, append records of data, and replace string values. ","Esther Matthews"
"Build Chained Apps","01:30","[""Designer""]","Sometimes a workflow needs the results from another workflow before it can run. In this course, discover how easy it is to chain apps so that when one finishes, the next app in the chain starts!","This course is designed for anyone who wants to use Alteryx Designer to create and chain analytic apps. ","A licensed copy of Alteryx Designer. ","Create and chain analytic apps together to display a dynamic interface that updates results based on user selections. ","Esther Matthews"
"Build Tailored Reporting Processes with Batch Reporting ","01:30","[""Designer""]","Do you need to create numerous customized reports and distribute them to multiple recipients? In this intermediate course, learn how to use batch reporting to make your Designer Desktop reports dynamic so they can be created and distributed automatically.","This course is designed for desktop users who regularly create and distribute multiple customized reports.","A licensed copy of Alteryx Designer. ","Create a batch report from a single workflow. 

Include titles, maps, graphs, and tables in batch reports. ","Esther Matthews"
